Team,made_tournament
Abilene Christian,False
Air Force,False
Akron,False
Alabama,False
Alabama A&M,False
Alabama State,False
Albany (NY),False
Alcorn State,False
American,False
Appalachian State,False
Arizona,True
Arizona State,False
Arkansas,False
Arkansas State,False
Arkansas-Pine Bluff,False
Army,False
Auburn,False
Austin Peay,True
Ball State,False
Baylor,True
Belmont,False
Bethune-Cookman,False
Binghamton,False
Boise State,False
Boston College,False
Boston University,False
Bowling Green,False
Bradley,False
Brigham Young,False
Brown,False
Bryant,False
Bucknell,False
Buffalo,True
Butler,True
Cal Poly,False
Cal State Bakersfield,True
Cal State Fullerton,False
Cal State Northridge,False
California,True
Campbell,False
Canisius,False
Central Arkansas,False
Central Connecticut State,False
Central Michigan,False
Charleston Southern,False
Charlotte,False
Chattanooga,True
Chicago State,False
Cincinnati,True
Clemson,False
Cleveland State,False
Coastal Carolina,False
Colgate,False
College of Charleston,False
Colorado,True
Colorado State,False
Columbia,False
Connecticut,True
Coppin State,False
Cornell,False
Creighton,False
Dartmouth,False
Davidson,False
Dayton,True
Delaware,False
Delaware State,False
Denver,False
DePaul,False
Detroit Mercy,False
Drake,False
Drexel,False
Duke,True
Duquesne,False
East Carolina,False
East Tennessee State,False
Eastern Illinois,False
Eastern Kentucky,False
Eastern Michigan,False
Eastern Washington,False
Elon,False
Evansville,False
Fairfield,False
FDU,True
Florida,False
Florida A&M,False
Florida Atlantic,False
Florida Gulf Coast,True
Florida International,False
Florida State,False
Fordham,False
Fresno State,True
Furman,False
Gardner-Webb,False
George Mason,False
George Washington,False
Georgetown,False
Georgia,False
Georgia Southern,False
Georgia State,False
Georgia Tech,False
Gonzaga,True
Grambling,False
Grand Canyon,False
Green Bay,True
Hampton,True
Hartford,False
Harvard,False
Hawaii,True
High Point,False
Hofstra,False
Holy Cross,True
Houston,False
Houston Christian,False
Howard,False
Idaho,False
Idaho State,False
Illinois,False
Illinois State,False
Illinois-Chicago,False
Incarnate Word,False
Indiana,True
Indiana State,False
Iona,True
Iowa,True
Iowa State,True
IU Indy,False
Jackson State,False
Jacksonville,False
Jacksonville State,False
James Madison,False
Kansas,True
Kansas City,False
Kansas State,False
Kennesaw State,False
Kent State,False
Kentucky,True
La Salle,False
Lafayette,False
Lamar,False
Lehigh,False
Liberty,False
Lipscomb,False
Little Rock,True
Long Beach State,False
Long Island University,False
Longwood,False
Louisiana,False
Louisiana State,False
Louisiana Tech,False
Louisiana-Monroe,False
Louisville,False
Loyola (IL),False
Loyola (MD),False
Loyola Marymount,False
Maine,False
Manhattan,False
Marist,False
Marquette,False
Marshall,False
Maryland,True
Maryland-Baltimore County,False
Maryland-Eastern Shore,False
Massachusetts,False
Massachusetts-Lowell,False
McNeese State,False
Memphis,False
Mercer,False
Miami (FL),True
Miami (OH),False
Michigan,True
Michigan State,True
Middle Tennessee,True
Milwaukee,False
Minnesota,False
Mississippi,False
Mississippi State,False
Mississippi Valley State,False
Missouri,False
Missouri State,False
Monmouth,False
Montana,False
Montana State,False
Morehead State,False
Morgan State,False
Mount St. Mary's,False
Murray State,False
Navy,False
NC State,False
Nebraska,False
Nevada,False
Nevada-Las Vegas,False
New Hampshire,False
New Mexico,False
New Mexico State,False
New Orleans,False
Niagara,False
Nicholls State,False
NJIT,False
Norfolk State,False
North Carolina,True
North Carolina A&T,False
North Carolina Central,False
North Dakota,False
North Dakota State,False
North Florida,False
North Texas,False
Northeastern,False
Northern Arizona,False
Northern Colorado,False
Northern Illinois,False
Northern Iowa,True
Northern Kentucky,False
Northwestern,False
Northwestern State,False
Notre Dame,True
Oakland,False
Ohio,False
Ohio State,False
Oklahoma,True
Oklahoma State,False
Old Dominion,False
Omaha,False
Oral Roberts,False
Oregon,True
Oregon State,True
Pacific,False
Penn State,False
Pennsylvania,False
Pepperdine,False
Pittsburgh,True
Portland,False
Portland State,False
Prairie View,False
Presbyterian,False
Princeton,False
Providence,True
Purdue,True
Purdue Fort Wayne,False
Quinnipiac,False
Radford,False
